"不能说的秘密","
	
	
    
","“他，是我第一个看到的人，所以只有他能看得到我。原来他和我同一间教室，只是，我们相差二十年。因为要第一眼看到他，所以我把琴房到教室的距离算过，一共108步。但也不是每一次都这么顺利。他的背影，我永远也不会忘记。这些时间对我来说，得来不易。” 



“不管我们能不能见面，不管你会不会忘了我，我只想告诉你一个秘密，我爱你。”                  

                                                                                                                                                                                --小雨","2017年1月6日 15:15","232"
"不能说的秘密","renascence?
	
	
	
	
    
","我是看了国民老公带回家才来听，陆瑾年和乔安好的故事很感动，我也几度被虐哭，不过幸好结局是甜蜜的。陆瑾年说过，有你的瑾年，才安好。乔安好也说过，有生之年，我只爱你。现在追完了书，我去追漫画了","2017年2月6日 22:17","228"
"不能说的秘密","ゃSolitary﹏唇诱
	
	
    
","不能说的秘密！我的女人，就你一个 等我抗过病魔！我爱你一辈子一辈子好好的爱你！加油加油再加油庄伟强祝所有白血病患者都能加油！","2017年5月6日 14:23","227"
"不能说的秘密","安静
	
	
    
","杰伦当导演的不幸在于一上来就拍了一部他这辈子都无法在超越的电影……","2017年3月21日 20:17","130"
"不能说的秘密","leetao
	
	
    
","买了辆二手奥迪，装上软件后开始跑起了专车， 一天拉了个女的，竟然是前女友。 一路上相对无语，看她表情也很挣扎，仿佛做着什么心理准备。 到达目的地后，她轻声对我说 : 我们还能回去吗？ 我坐那纠结了半天 : 回去？回去得加二十。","2017年5月30日 07:35","80"
"不能说的秘密","~~??
	
	
    
","没有不能说的秘密，只有不能错过的秘密。不能说的秘密，我爱你。可是，或许命运只让我们遇见而已。","2017年1月26日 20:58","76"
"不能说的秘密","是先生太难忘.
	
	
    
","杰伦是声音真的好听，这首歌唱的非常非常好!真的超级超级喜欢!JJ翻唱等于是双杰的另一次合作，他们两个人没有什么谁好谁不好的。我是JM，如果有私生饭或是不太懂事的新粉来这里刷老林还请周董的粉丝见谅，不要因为粉丝上升到明星，JJ跟杰伦的感情一直很好，也希望两家粉丝和睦相处","2017年2月6日 16:23","52"
"不能说的秘密","LIN
	
	
    
","GDP超日了,马上要实现赶英超美了,可我还挣扎在贫困线上!比什么啊？有意义吗？","2018年10月2日 17:50","41"
"不能说的秘密","落花满山.
	
	
    
","有一种人，天天都笑嘻嘻的，好似和谁都合得来，但是从来不主动联系朋友，脾气也出奇的好，好像世上没什么事能让他们愤怒或悲伤。心中怀着宏伟的梦想，却不愿与身边的人分担，只是默默的做，以为能用砂砾和泥土堆出山川。 这一种人，懒得咒骂，懒得分享心情，在人情世故中受尽冷暖后，也无心去写矫情的文字，到朋友圈里换取安慰同情。你问他怎么了，他也只是一笑。 只有在大多数人都入眠的时候，他翻着书，亦是戴着耳机，看到共鸣之处，忍住心里的一阵战栗，忍住眼里的苦涩，继续读下去，直到昏睡。 寂寞的人，什么都不想说，半醉半醒日复日，花开花落年复年。","2018年7月23日 22:31","35"
"不能说的秘密","我的猪呢
	
	
    
","《不能戒的奶茶》珍珠奶茶离开杯垫我假装很口渴再续一杯拼命想瘦回到从前脸上胖肉依旧清晰可见最美的不是蛇精脸是被珍珠奶茶毁掉的颜潮服的里面  曾经人鱼线  腹肌已不见你说把茶渐渐戒掉会瘦一点或许奶茶的甜  配珍珠更好些你用你的观念  阻止我再沦陷想定格那从前  在青春消失之前你说把茶渐渐戒掉再瘦一点又何必去自恋  反正爱到永远那让我再续饮这一杯的香甜品尝后才发现  这幸福肥的脸要我怎么减","2017年10月15日 18:13","29"
